ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5684782,HN474139,07/18/2007 03:17:06 PM,007XX E 92ND PL,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0633,006,9,44,18,1182833,1843804,2007,04/15/2016 08:55:02 AM,41.726601465,-87.60585375,"(41.726601465, -87.60585375)"
5684783,HN366648,05/26/2007 03:54:51 PM,001XX S CALIFORNIA AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1125,011,2,27,18,1157743,1899424,2007,04/15/2016 08:55:02 AM,41.879775257,-87.696251247,"(41.879775257, -87.696251247)"
5684784,HN491970,07/27/2007 11:18:00 AM,009XX N HUDSON AVE,0460,BATTERY,SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,false,false,1823,018,27,8,08B,1173001,1906745,2007,04/15/2016 08:55:02 AM,41.899540054,-87.640009077,"(41.899540054, -87.640009077)"
5684785,HN493849,07/13/2007 04:00:00 PM,019XX W GARFIELD BLVD,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,CURRENCY EXCHANGE,true,false,0715,007,15,67,10,1164158,1868053,2007,04/15/2016 08:55:02 AM,41.793556878,-87.673581021,"(41.793556878, -87.673581021)"
5684786,HN492004,07/26/2007 10:00:00 PM,013XX E HYDE PARK BLVD,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,false,false,2124,002,4,41,06,1186146,1871459,2007,04/15/2016 08:55:02 AM,41.802411852,-87.592845949,"(41.802411852, -87.592845949)"
5684787,HN478117,07/20/2007 02:35:00 PM,007XX W 76TH ST,2027,NARCOTICS,POSS: CRACK,RESIDENCE PORCH/HALLWAY,true,false,0621,006,17,68,18,1172832,1854475,2007,04/15/2016 08:55:02 AM,41.756110196,-87.64217436,"(41.756110196, -87.64217436)"
5684788,HN366650,05/26/2007 03:30:00 PM,041XX W DIVISION ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1111,011,37,23,18,1148723,1907686,2007,04/15/2016 08:55:02 AM,41.902626034,-87.729158071,"(41.902626034, -87.729158071)"
5684789,HN366905,05/26/2007 06:30:00 PM,045XX W MADISON ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1113,011,28,26,18,1146186,1899632,2007,04/15/2016 08:55:02 AM,41.880573607,-87.738682027,"(41.880573607, -87.738682027)"
5684790,HN490625,07/26/2007 05:15:00 PM,067XX S CHAMPLAIN AVE,0453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,RESIDENCE,false,false,0321,003,6,42,04B,1181730,1860424,2007,04/15/2016 08:55:02 AM,41.772234067,-87.60938187,"(41.772234067, -87.60938187)"
5684792,HN368438,05/27/2007 04:20:42 PM,009XX N AVERS AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1112,011,27,23,19,1150546,1906094,2007,04/15/2016 08:55:02 AM,41.898222,-87.722503463,"(41.898222, -87.722503463)"
5684794,HN478241,07/20/2007 03:40:00 PM,081XX S DREXEL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0631,006,8,44,18,1183651,1851180,2007,04/15/2016 08:55:02 AM,41.746823018,-87.602627962,"(41.746823018, -87.602627962)"
5684796,HN491451,07/27/2007 01:40:00 AM,043XX W GLADYS AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,OTHER,true,false,1131,011,28,26,04B,1147607,1898004,2007,04/15/2016 08:55:02 AM,41.87607905,-87.733505972,"(41.87607905, -87.733505972)"
5684797,HN493466,07/27/2007 10:00:00 PM,051XX S LAPORTE AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,true,0814,008,23,56,06,1144229,1870114,2007,04/15/2016 08:55:02 AM,41.799609048,-87.746608444,"(41.799609048, -87.746608444)"
5684798,HN370060,05/28/2007 02:40:00 PM,039XX W GLADYS AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,true,false,1132,011,28,26,26,1150091,1898062,2007,04/15/2016 08:55:02 AM,41.87619021,-87.724384004,"(41.87619021, -87.724384004)"
5684799,HN493877,07/27/2007 10:00:00 PM,087XX W SUMMERDALE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1614,016,41,76,06,1117082,1934218,2007,04/15/2016 08:55:02 AM,41.975986178,-87.84482822,"(41.975986178, -87.84482822)"
5684800,HN370138,05/28/2007 03:30:00 PM,042XX W VAN BUREN ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,true,false,1132,011,24,26,26,1148183,1897685,2007,04/15/2016 08:55:02 AM,41.875192611,-87.731399296,"(41.875192611, -87.731399296)"
5684802,HN478563,07/20/2007 06:00:00 PM,078XX S COTTAGE GROVE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0624,006,6,69,18,1182926,1853102,2007,04/15/2016 08:55:02 AM,41.752114055,-87.605224922,"(41.752114055, -87.605224922)"
